City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
325,turkmenbasy,40.0222,52.9552,299.58,83,75,0.0,TM,1723059699
326,kargasok,59.0556,80.8572,284.08,85,39,2.36,RU,1723059700
327,bairnsdale,-37.8333,147.6167,276.51,92,81,2.45,AU,1723059702
328,lepsy,46.235,78.9456,299.35,29,82,3.31,KZ,1723059703
329,pionerskiy,54.9508,20.2275,290.06,77,11,3.6,RU,1723059704
330,temiskaming shores,47.4938,-79.7153,295.04,32,98,1.99,CA,1723059707
331,kittila,67.6647,24.8936,289.23,59,0,2.06,FI,1723059708
332,kinablangan,7.6947,126.5503,297.6,84,100,1.6,PH,1723059710
333,cafayate,-26.073,-65.9761,293.24,14,1,2.57,AR,1723059711
334,noria,32.5167,74.8,301.92,90,24,5.61,IN,1723059712
335,zhanaozen,43.3,52.8,303.08,34,14,8.78,KZ,1723059714
336,sakaiminato,35.55,133.2333,297.11,100,20,1.54,JP,1723059715
337,thabazimbi,-24.5917,27.4116,289.56,29,0,2.02,ZA,1723059717
338,taesal-li,36.9714,126.4542,298.1,92,100,2.39,KR,1723059718
339,gorontalo,0.5412,123.0595,296.74,97,100,1.95,ID,1723059719
340,novyy urgal,51.0736,132.5642,288.08,89,4,1.05,RU,1723059721
341,homer,59.6425,-151.5483,289.15,72,100,8.05,US,1723059722
342,susanville,40.4163,-120.653,306.94,17,55,1.34,US,1723059724
343,kingston,17.997,-76.7936,306.68,66,20,10.29,JM,1723059725
344,veinticinco de mayo,-35.4323,-60.1727,285.36,68,60,1.79,AR,1723059726
345,anori,-3.7728,-61.6442,312.14,21,14,1.08,BR,1723059729
346,cape coast,5.1053,-1.2466,296.87,86,100,6.03,GH,1723059730
347,nemuro,43.3236,145.575,290.79,100,100,4.33,JP,1723059731
348,antonio enes,-16.2325,39.9086,295.36,73,3,3.51,MZ,1723059733
349,yanam,16.7333,82.2167,297.27,95,100,2.52,IN,1723059734
350,merizo village,13.2658,144.6691,301.0,73,100,1.97,GU,1723059735
351,kisangani,0.5167,25.2,298.48,65,44,0.95,CD,1723059737
352,kupang,-10.1667,123.5833,298.47,78,5,4.12,ID,1723059738
353,kavieng,-2.5744,150.7967,300.83,77,12,5.21,PG,1723059740
354,chonchi,-42.6128,-73.8092,284.88,76,34,0.73,CL,1723059741
355,grand falls-windsor,48.9332,-55.6649,292.44,50,99,4.75,CA,1723059742
356,west vero corridor,27.6378,-80.4858,304.83,70,66,5.94,US,1723059744
357,powell river,49.8496,-124.5361,294.92,82,100,3.09,CA,1723059446
358,new plymouth,-39.0667,174.0833,284.15,100,100,8.52,NZ,1723059560
359,tosontsengel,48.7567,98.2839,284.26,59,100,1.05,MN,1723059748
360,coquimbo,-29.9533,-71.3436,287.0,76,75,4.12,CL,1723059750
361,portland,45.5234,-122.6762,301.48,49,0,0.45,US,1723059640
